ID,Name,Closed Permanently,Closed for COVID,Covid Notes,Category,Parent Organization,Description,Address,Address2ndLine,City,State,Zip,Latitude,Longitude,Neighborhood,Email,Phone,Hours,Website,Facebook,Pinterest,Twitter,LinkedIn,Instagram,Eligibility Requirements,Languages,Food Types,Non-food Items,Services,Public Notes,Admin Contact,Admin Phone,Admin Email,Donation Contact,Donation Phone,Donation Email,Donation Pickup,Accepts Frozen,Accepts Refrigerated,Accepts Perishable,Donation Schedule,Donation Delivery Instructions,Donation Notes,Verification Status
4489,A Plus ADHC,1,,,"Meal Program, Care Center",,,3321 N Tyler Ave,,El Monte,CA,91731,34.06888772,-118.0360687,,,626-579-6588,[],,,,,,,,English,,,,,,,,,,,,,,,,,,4
4285,Calvary Chapel - Emanuel,1,,,Food Pantry,,Food Distribution at Church Office Meeting Room.,438 E. Katella Avenue  #M,,Orange,CA,92867,33.80902106,-117.8494041,,info@calvaryemanuel.com,(714) 516-9227,[],http://www.calvaryemanuel.com/,https://www.facebook.com/pg/Calvary-Chapel-Emanuel-1907478512821359/about/?ref=page_internal,,,,,,English,,,,,,,,,,,,,,,,,,4
3185,Vision of Hope Church,,,,"Food Pantry, Other",,"Our outreach consists of ministering, feeding, and clothing people in need as well as assisting with referrals for housing, medical assistance, job training, job placement and education.",5951 S. San Pedro,,Los Angeles,CA,90003,33.98586501,-118.269683,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),,(323) 422-7716,[],http://visionofhopela.org/,N/A,,,,,N/A,English,,N/A,N/A,,Pastor Richards,(323) 422-7716,,Pastor Richards,(323) 422-7716,,,,,,,,,2
4403,Our Redeemer Lutheran Church (Human Care Ministry),,,Open during COVID for grab and go.,"Food Pantry, Food Bank",,,20025 Chase St (Pantry Address),8520 Winnetka Avenue (Church Address),Winnetka,CA,91306,34.225227,-118.5710078,WINNETKA NC,church@our-redeemer.org,(818) 341-1629,[],https://www.our-redeemer.org,Our Reedemer Lutheran Church Winnetka,,,,,"ZIP codes served: 91303, 91304. 91306. 91307, 91311, 91324, 91325, 91326, 91335, 91344, 91356, 91364, 91367.",English,,Some toiletries and clothing,,Please note the zip code you're in to receive our services.,,,,,818-341-3460,church@our-redeemer.org,,,,,,,"Donations received through FEMA/USPS Food Drive/local supermarkets. Produce, fresh meat is purchased",4
4728,Los Angeles Regional Food Bank,,,Food Bank operations are continuing with no major impact on our staff and facilities.,Food Bank,Los Angeles Regional Food Bank,"We have programs that help children, seniors and families get food, learn about nutrition or apply for CalFresh. We source, acquire and distribute food throughout Los Angeles County through our partnering agencies and programs with locations near you.",1734 East 41st Street,,Los Angeles,CA,90058,34.00796831,-118.2423868,,info@lafoodbank.org,(323) 234-3030,[],https://www.lafoodbank.org/programs/commodity-supplemental-food-program/,https://www.facebook.com/lafoodbank,,https://twitter.com/LAFoodBank,https://www.linkedin.com/company/los-angeles-regional-food-bank,https://www.instagram.com/lafoodbank/,,English,,,,"If in need of food, visit their pantry locator https://www.lafoodbank.org/find-food/pantry-locator/ or dial 2-1-1.
They do not serve food at their distribution sites. Food distributions take place at partner sites. See pantry locator website.",,,,Jeanna Kindle,323.234.3030 ext 129,jkindle@lafoodbank.org,,,,,,,,4
2893,Chinese Community Service Center,1,,,Food Pantry,,,1725 Beverly Boulevard,Ste 1-B,Los Angeles,CA,90026,34.065401,-118.266495,ECHO PARK NC,,(323)483-3035,[],,,,,,,,"English
Chinese",,,,,,,,,,,,,,,,,,4
5572,First Methodist Church,,,,Food Pantry,,,315 N. Church Street,,McKinney,TX,75069,33.19967501,-96.61739752,,jcavalier@sharingtheheart.org,972-562-8556,[],,,,,,,,,,,,McKinney Community and globally,,,jcavalier@ sharingtheheart.org,,,,,,,,,,,1
4321,St. Irenaeus H.O.P.E. (Helping Other People Everyday),,,,Food Pantry,St. Irenaeus Catholic Church,,5201 Evergreen Avenue,,Cypress,CA,90630,33.82865399,-118.041901,,parish@sticypress.org,(714) 826-0760,[],https://sticypress.org/ministries/hope,https://www.facebook.com/stirenaeuschurch/,,,,,,English,"USDA Food, Non-USDA Food","infant supplies, used clothing and small household items.","Help with transportation, shelter, utility bills.",,,,,,,,,,,,,,,4
2858,All People's Christian Center,,,,Food Pantry,,see notes,822 E. 20th Street,,Los Angeles,CA,90011,34.02616033,-118.2567973,SOUTH CENTRAL NC,allpeoples@allpeoplescc.org,(213) 747-6357,[],https://allpeoplescc.org/,facebook.com/AllPeoplesCC,,@AllPeoplesLA,,@AllPeoplesLA,"ID, proof of income and proof of address (copy of a utility bill is best).
","English
Spanish",,,"Extended Day Child Care, After-School Programs, Summer Camp, Collaboration for Family Wellness, Work Source Center, Supplemental Food Program (SFP), Community Building and Educational Events, Parenting Classes, Women Support Groups, Anti-Recidivism Program, Retired Senior and Volunteer Program, Community Garden, Immigration Services","It's a popular food pantry. Get there early because often they have meat and produce. You can get non-perishables (""canned goods""). M-F 9am - 4:30pm. You may contact us at (213) 747-6357, Monday – Friday 9:00 am – 5:30 pm for services.

New Emergency Senior Meals Response program: Seniors in need can have healthy meals delivered to their homes. City of L.A. residents ages 60 and older who are not currently participating in other meal programs can apply online: docs.google.com/forms/d/e/1FAIpQLSf_xMpL5qtG9cjpbTEpWRUaIXmjoms4YpTtDol-Mv8ikHH23A/view form. ",,,,,,,,,,,,,,2
4172,Faith Tabernacle Church Pantry,,,Masks are required but they also provide masks if needed. 6 feet apart is marker on ground.,"Food Pantry, Food Bank",,"Church that holds and provides food every Sunday. They receive food from West LA Food Bank, along with Bristol Farms and sometimes Trader Joes. Individual donations are accepted as well.",2147 Purdue Avenue,,Los Angeles,CA,90025,34.03715389,-118.4436876,WEST LOS ANGELES NC,office@wlafaith.org,(310) 473-3135,[],http://www.wlafaith.org,,,,,,No proof of need required. All are welcome.,English,"All types of food: frozen, perishable, non perishable. They receive frozen chicken from Chik-fil-a as well. Pantry stables and more. ","Clothing, toiletries, shoes.",,The sooner you arrive the better. Once you have gone through the line you are welcome to go back to the end of the line. Food is provided for people who can cook or don't have ability to cook.,Sandra Henderson,310.473.3135,office@wlafaith.org,Sandra Henderson,310.473.3135,office@wlafaith.org,,1,1,1,Sandra is on site 2-3 times a week but she lives nearby and is flexible on coordinator with the donors for whenever they can meet.,Contact Sandra to make arrangements.,,3
